,Textos_espanol,sdg
186,"Las políticas para promover un entorno escolar ""favorable a las niñas"", como la contratación de más maestras, también han demostrado tener un impacto positivo en la asistencia de las niñas. La evaluación de un programa aleatorio en la India reveló que la contratación de más maestras aumentaba la asistencia de las niñas en un 50% (Glewwe y Kremer, 2006). Esto es especialmente cierto en las zonas rurales y en el caso de las niñas casadas.",4
187,"El sistema de evaluación existente no se utiliza como una verdadera oportunidad de desarrollo, más del 98% de los profesores reciben una calificación de ""excelente"" o ""muy bueno"", a pesar de que existen pruebas claras de la existencia de lagunas en los conocimientos. El bajo nivel de conocimientos pedagógicos en las materias básicas apunta a graves deficiencias en la selección y preparación iniciales de los profesores. Sólo 19 de los 259 programas de enseñanza inicial tienen garantizada la calidad mediante acreditación.",4
188,"En resumen, la brecha es el resultado de diferencias de género en elecciones estratégicas clave: la elección de sector por parte de las mujeres, su tamaño preferido de empresa, el nivel de riesgo que están dispuestas a aceptar y las horas que pueden dedicar a su negocio. Un mayor análisis de las razones que subyacen a estos diferentes planteamientos puede ayudar a las políticas a centrarse en fallos específicos del mercado y en los estereotipos que afectan más a las mujeres que a los hombres. Una combinación de políticas generales para las PYME y de instrumentos dirigidos explícitamente a las mujeres puede ser eficaz para fomentar el interés y la entrada en el mundo empresarial. La Agencia Federal para el Desarrollo de la Pequeña Empresa (Small Business Administration, SBA) de Estados Unidos ha explorado explícitamente una combinación de programas generales con perspectiva de género y políticas específicas para las mujeres, y ha experimentado continuamente con otras nuevas.",5
189,"El término ""género"" se refiere a las identidades, atributos y papeles construidos socialmente para mujeres y hombres y al significado social y cultural que la sociedad da a estas diferencias biológicas, lo que da lugar a relaciones jerárquicas entre mujeres y hombres y a una distribución del poder y los derechos que favorece a los hombres y perjudica a las mujeres. La política de los derechos: Dilemmas for Feminist Praxis, D. Tsikata, ""¿Anunciando prematuramente un nuevo amanecer? Londres, Zed Books, 2007), p. 214. Oxford y Portland, Oregón, Hart, 2005), pp.",5
190,"Otros países europeos muestran pautas similares pero, en la mayoría de ellos, la diferencia entre hombres y mujeres en cuanto a horas de trabajo es mucho menor. En todos los países europeos - excepto, en cierta medida, en los Países Bajos (véase el recuadro 5.3 del capítulo 5) - y en Estados Unidos, trabajar a tiempo completo es la norma entre los hombres de todas las edades. Sin embargo, cuando se trata de las mujeres, el panorama es mucho más heterogéneo, como demuestra el examen de la variedad de modalidades de trabajo para hombres y mujeres en determinados países de la OCDE.",5
191,"Esto capta mejor la participación activa del educador en su propio aprendizaje (Stoll et al., Como sostiene Easton (2008, p. 756), ""hoy está más claro que nunca que los educadores necesitan aprender, y por eso el aprendizaje profesional ha sustituido al desarrollo profesional. Los educadores deben estar bien informados y ser sabios.",4
192,"El Sistema de Protección Social en Salud también buscaba inyectar nuevos recursos al sistema de salud y mejorar las transferencias de recursos entre el gobierno federal y los estados. De hecho, la inversión pública en el sistema sanitario aumentó del 2,4% al 3,3% del PIB entre 2003 y 2013. Tras haber funcionado como programa piloto entre 2001 y 2003, y una vez reformado el marco jurídico que sustenta el sistema sanitario mexicano, el Seguro Popular (SP) se puso plenamente en marcha en enero de 2004. Algunas intervenciones importantes de alto coste siguen excluidas del paquete del SP, como se analiza en el capítulo 3. El aumento significativo de la afiliación al SP también representa un aumento significativo de la cobertura total de la población, y un paso importante hacia la cobertura sanitaria universal (CSU).",3
193,"En 2006, alrededor de 11 000 personas -el equivalente al 10% de la población de estudiantes de grado 12- estaban matriculadas en centros preuniversitarios o cursos de este tipo; la gran mayoría tenía menos de 25 años (OCDE, 2009). La única institución de enseñanza superior de acceso abierto es la Open University. En 2006/07 este porcentaje era del 11%, frente a sólo el 7% en 1995/96.",4
194,"En particular, temas como la política (23% de mujeres), la economía (14% de mujeres) y la delincuencia (22% de mujeres) presentan bajas proporciones de mujeres en el GMMP de 2015. Si se analizan las noticias políticas de la web danesa, la proporción de mujeres en las noticias del último GMMP fue solo del 10 % (Jarndrup y Bentsen, 2015). Solo el 33 % de los políticos invitados en programas factuales eran mujeres, a pesar de que en el momento del estudio casi la mitad de todos los ministros daneses y el 40 % de los miembros del Parlamento eran mujeres (Andreassen 2016: 91).",5
195,"El Tesoro neozelandés estableció los siguientes principios clave para la gestión pública en todos los organismos estatales: claridad de objetivos, libertad de gestión, responsabilidad, evaluación eficaz del rendimiento y flujos de información adecuados (Tesoro neozelandés, 1987, Cook, 2004). En el sector de la educación, esto significa que los distintos organismos educativos deben coordinar su dirección estratégica para garantizar que la supervisión de la calidad de la educación esté relacionada con los objetivos de alto nivel del rendimiento del sistema. El marco Management for Outcomes ofrece un modelo común de ciclo de gestión de la calidad para todos los departamentos estatales.",4
196,"El sistema educativo esloveno combina programas escolares y de aprendizaje en el trabajo, pero sólo el 1,6% de los alumnos de secundaria superior participan en ellos, aunque alrededor del 60% están matriculados en programas de orientación profesional. La reforma de la EFP de 2002 permitió que el 20% del plan de estudios fuera flexible, en función de las necesidades y condiciones locales. Las autoridades deberían introducir incentivos suficientes para garantizar una mayor participación en la determinación del plan de estudios y los programas de estudios basados en el trabajo. Los datos internacionales sugieren que los resultados laborales de los titulados en educación secundaria superior profesional tienden a ser correspondientemente favorables allí donde la participación en programas de aprendizaje es especialmente elevada.",4
197,"En Sierra Leona, las mujeres participan en iniciativas políticas de consolidación de la paz tanto a escala local como regional. En su página web específica, documentó algunos de los hechos y cifras relacionados con la violencia contra las mujeres en las elecciones. Para poner en marcha este servicio, se pidió a las víctimas y/o testigos que enviaran un breve mensaje de texto a un número específico, describiendo la violencia e indicando el lugar del incidente.",5
198,"En comparación con otros tipos de estadísticas, se han dedicado pocos manuales y recursos de formación al desarrollo de estadísticas de género. La División de Estadística de las Naciones Unidas lideró muchos de los avances técnicos en el campo de las estadísticas de género, principalmente durante el periodo comprendido entre 1975 y 1995, antes de la Cuarta Conferencia Mundial sobre la Mujer (Naciones Unidas, Consejo Económico y Social, 2010). La División lideró la producción de material técnico y la compilación de estadísticas sobre mujeres y hombres.",5
199,"Esta asignación se otorga a los docentes de escuelas aisladas, rurales, culturalmente diversas y desfavorecidas (véase el Capítulo 5). Los líderes escolares que trabajan en escuelas con una alta concentración de estudiantes vulnerables también reciben una compensación mayor (véase el Capítulo 4) (MINEDUC, ACE y ES, 2016). Las escuelas privadas subvencionadas pueden cobrar derechos de matrícula a las familias a través del sistema de financiación compartida (véase el capítulo 2).",4
200,"Una experiencia notable que beneficia a los adultos mayores y a otros grupos está en marcha en Argentina desde 2002: la Política Nacional de Medicamentos, que promueve la prescripción de medicamentos genéricos. Esto dio lugar al programa ""Remediar"", que proporciona medicación ambulatoria gratuita a través de los centros de atención primaria de salud, mientras que el Ministerio de Salud controla los precios para detectar cualquier aumento injustificado (Escobar, 2007). Algunos medicamentos se suministran gratuitamente en la República Bolivariana de Venezuela y en Paraguay. Este último país suministra fármacos gratuitos a personas vulnerables mayores de 70 años a través del Instituto de Previsión Social del Ministerio de Salud. En junio de 2007, 300 personas se beneficiaban del programa, que pretendía llegar a 1.000 personas a finales de año.",3
201,"Alrededor del 75% de los directores de los centros de intervención estimaron que el proyecto propició la colaboración entre profesores de forma inusual y positiva, y que el proyecto brindó oportunidades de desarrollo profesional que su personal docente no habría tenido de otro modo. Los instrumentos de la encuesta miden tanto los contextos locales en los que tiene lugar la intervención como los efectos de ésta en una serie de resultados de interés para alumnos y profesores, entre ellos el cambio en las prácticas pedagógicas, actitudes y creencias de los profesores, así como los efectos de esas prácticas en las puntuaciones de sus alumnos en los exámenes, su comprensión y actitud hacia la creatividad y el pensamiento crítico, su compromiso con la escuela y sus puntuaciones en las pruebas estandarizadas de creatividad. Aunque los resultados son provisionales, el análisis inicial de los datos de los alumnos piloto muestra que la intervención tiene efectos prometedores en los resultados de interés. La siguiente fase del proyecto debería incluir un estudio de validación (o eficacia) antes de que los países amplíen los enfoques eficaces.",4
202,"Por lo tanto, necesitan desarrollar fuertes vínculos de colaboración entre sí para mejorar su capacidad educativa, de servicios y de investigación aplicada. Reconociendo la necesidad de aumentar la accesibilidad geográfica, algunas escuelas superiores han propuesto centros de extensión situados en pueblos árabes, pero las autoridades han rechazado estas iniciativas. Las autoridades deberían considerar la posibilidad de prestar apoyo a centros específicos de aprendizaje de extensión de la enseñanza superior atendidos por varias escuelas superiores diferentes y, posiblemente, universidades y la Universidad Abierta, en aldeas con bajos índices de participación en la enseñanza terciaria. Sin embargo, existen lagunas considerables en cuanto a la oferta regional, y la Galilea, y en particular su población árabe, parece estar insuficientemente atendida por la oferta de la Universidad Abierta.",4
203,"Sin embargo, el desarrollo de mecanismos de remuneración a la capitación que permitan evitar menos incentivos para multiplicar las actuaciones y animar a los profesionales de la salud a acompañar más tiempo a los pacientes, tout comme les paiements en fonction des résultats dans les soins primaires doivent être renforcés afin de faire face à la prévalence croissante des maladies chroniques et de réduire la demande induite par 1â€™offre et les disparités sociales en terme dâ€™access aux soins. Diversos indicadores de la esperanza de vida se encuentran entre los más elevados de la OCDE, especialmente en el caso de las mujeres (Figura 1, Paneles A y B). Estas medidas también han mostrado una mejora constante (Blanpain, 2016).",3
204,"Muchas universidades todavía no han adaptado sus programas a los nuevos planes de estudios, aunque, como ya se ha señalado, se están realizando esfuerzos para animar a más instituciones a actualizar sus cursos. Los requisitos de funcionamiento y la supervisión de las universidades privadas en Costa Rica son extremadamente bajos (véase el capítulo 5). De los 19 programas de formación inicial docente que están acreditados, sólo dos son de universidades privadas. En contraste, más de dos tercios de los países de la OCDE tienen algún tipo de requisito de acreditación de calidad para los programas de formación inicial docente (OCDE, 2014).",4
205,"En estos países, la proporción de parejas en las que el varón trabaja entre 30 y 39 horas semanales y la mujer más de 40 es también mayor que en otros países europeos (resultados no mostrados). El ""modelo de sustentador principal"" es, con un 34,8% (figura 4.9, barras grises), el más común en las familias de pareja alemanas, seguido del tradicional ""modelo de sustentador único"" en el que la madre está inactiva o desempleada (23,9%, barras blancas). En Francia, la combinación de dos personas que trabajan a tiempo completo es mucho más común, siendo lo más probable que las parejas opten por la doble jornada reducida, o que uno de los miembros de la pareja trabaje a tiempo completo y el otro entre 30 y 39 horas. La tercera práctica más común en Francia es el ""modelo de dos asalariados a tiempo completo"". La distribución de las modalidades de trabajo en las que el hombre no trabaja es muy similar en ambos países.",5
206,"Entre las personalidades que asistieron se encontraban la ex Secretaria de Estado de EE.UU., Hilary Clinton, la ex Directora de ONU Mujeres, Michele Bachelet, y cinco presidentas y Jefas de Gobierno de la época. La Declaración Conjunta resultante, firmada por mujeres líderes mundiales, dio lugar a la adopción de la Resolución 66/130 de la AGNU el 19 de diciembre de 2011. Aunque la suplencia institucionalizada de las mujeres no es un fenómeno deseable, un mayor número de mujeres en este nivel puede tener el potencial de normalizar su presencia en las altas esferas.",5
207,"Alrededor del 7% de la población declara necesidades no cubiertas de este tipo, con una diferencia considerable entre los grupos de renta alta y baja (gráfico 11) y entre las regiones. Los costes y los tiempos de espera son los que más contribuyen a las necesidades insatisfechas en Polonia. Mientras que la mayoría de los procedimientos médicos convencionales están incluidos, la lista de medicamentos reembolsables es reducida. En consecuencia, la proporción del gasto de bolsillo en productos farmacéuticos en Polonia (60%) es la cuarta más alta de la UE (después de Rumanía, Bulgaria y Croacia) y considerablemente superior a la media de la UE (44%).",3
208,"De este modo, la prevención secundaria aumenta las oportunidades de realizar intervenciones menos costosas e invasivas con el fin de evitar la progresión de la enfermedad y la aparición de los síntomas, o el ""stock de enfermedad"".30 Algunos ejemplos son el cribado de enfermedades como la tuberculosis, la diabetes y el cáncer de mama. Una característica de la prevención secundaria es que se produce antes de que se haya realizado el diagnóstico. A menudo, estas detecciones tempranas de casos implican servicios de laboratorio y diagnóstico por imagen.",3
209,"La diferencia salarial neta, que controla las diferencias observables, se sitúa en el 6,9% (18,4%-11,5%). Con mayor frecuencia que los hombres, las mujeres tienden a abandonar sus puestos de trabajo o a no ascender en la escala salarial, un fenómeno conocido como ""la tubería agujereada"" o el ""techo de cristal"". Como resultado, la proporción de mujeres en puestos de gestión o dirección, un 33% en Suiza, no se corresponde con su 45% de la población activa.",5
210,"En otras palabras, gobernar mediante leyes puede interpretarse fácilmente como una falta de confianza en los profesores, lo que a su vez puede llevarles a sentirse controlados, lo que podría perjudicar su creatividad, motivación y autoestima. Por otra parte, si la calidad de la enseñanza no es suficientemente buena, y los padres y los alumnos no tienen la sensación de que los profesores cumplen la Ley de Educación, la confianza del público en las escuelas puede disminuir. El camino a seguir parece, por tanto, continuar apoyando a los profesores que parecen haber asumido los cuatro principios de la Ley de Educación, y apoyar a las buenas escuelas y profesores como ejemplo para otras escuelas.",4
211,"Las mujeres se ven ahora oprimidas por sus propios hombres, que no creen que seamos capaces de contribuir de forma significativa a la sociedad en algo más que ser portadoras de hijos"". Alcanzar el objetivo de la participación igualitaria de mujeres y hombres en la toma de decisiones proporcionará un equilibrio que reflejará con mayor exactitud la composición de la sociedad y es necesario para fortalecer la democracia y promover su correcto funcionamiento"" (Naciones Unidas 1995: párrafo 181). Para que el gobierno local responda a las necesidades tanto de las mujeres como de los hombres, debe basarse en las experiencias de ambos"". Se ha trabajado menos sobre el impacto real de las mujeres en la naturaleza y el trabajo de los órganos legislados.",5
212,"Una supervisión que tenga en cuenta las cuestiones de género puede garantizar políticas de seguridad inclusivas y basadas en las necesidades, reforzar la eficacia operativa de las instituciones del sistema de seguridad mediante el seguimiento y la evaluación, y aplicar una presupuestación equitativa. Esto puede incluir la formación en cuestiones de género y seguridad de los parlamentarios y su personal, especialmente los de los comités de defensa y seguridad, el apoyo a las evaluaciones del impacto de género de la legislación y las políticas de seguridad propuestas y existentes, y el apoyo a mecanismos de debate público y consulta, como una consulta nacional sobre seguridad que incluya a organizaciones de mujeres y de derechos humanos urbanas y rurales. Apoyar la reforma electoral y de los partidos puede garantizar una mayor participación de las mujeres y de otros grupos infrarrepresentados en el proceso político. Las cuotas constitucionales, electorales y/o de partido pueden ayudar a conseguirlo.",5
213,"Las respuestas necesarias incluyen el aumento de la accesibilidad geográfica a la educación superior, la mejora de la preparación para la educación superior a través de la inversión a largo plazo a las escuelas y vínculos más estrechos entre las escuelas y las instituciones de educación superior y la mejora de la cultura del campus y las medidas de apoyo académico y social para mejorar la retención y el éxito en la educación superior. Teniendo en cuenta la actual infrarrepresentación de la población árabe en la educación terciaria, deberían tomarse medidas para proporcionar un apoyo adecuado al NAI, que es la primera institución de educación superior árabe de Israel (véase el recuadro 2.1.). También debería prestarse apoyo a las facultades de educación árabes para ayudarles a diversificar sus carteras docentes.",4
214,"Desde mediados del siglo XX, los sistemas educativos se han expandido enormemente y las poblaciones humanas nunca han estado tan educadas como hoy. Las economías emergentes y los países en desarrollo también están ampliando sin cesar sus sistemas educativos, pues consideran que la educación es un ingrediente indispensable de la modernización y el progreso. De hecho, los beneficios para los individuos y las sociedades de una educación cada vez mayor siguen siendo muy impresionantes.",4
215,"En el derecho consuetudinario anterior a la independencia, el acceso de las mujeres a la tierra se realizaba principalmente a través de sus maridos, padres o algún otro pariente masculino. En virtud de la Ley de Reforma de las Tierras Comunales de 2002, no hay impedimentos para la igualdad de género en la asignación de tierras comunales, pero no hay una articulación directa del principio de no discriminación, ni ninguna acción afirmativa para las mujeres. Las tierras siguen siendo asignadas por los líderes tradicionales y ratificadas por las juntas de tierras comunales, de las que aproximadamente un tercio son mujeres.",5
216,"Se trata de una de las tasas más altas de la OCDE. Al igual que en otros países de América Latina, la desigualdad de ingresos en México también es muy elevada: en 2012, los ingresos medios del 10 % superior en México eran 30,5 veces superiores a los del 10 % inferior. Esta es la mayor diferencia en la OCDE, y se compara desfavorablemente con un promedio de la OCDE de 9,6 a 1 para el decil más alto frente al más bajo (OCDE, 2015d). La pobreza es más pronunciada en los hogares encabezados por mujeres (USAID, 2012).",5
217,"Dedicar una hora a la semana a los deberes se asocia a una reducción del 15% en la probabilidad de sacar malas notas en matemáticas, en comparación con no hacer deberes. Dedicar dos horas semanales a los deberes se asocia a una reducción del 36% de esa probabilidad, y tres horas semanales a una reducción del 50%. La probabilidad de sacar malas notas sigue disminuyendo a medida que aumenta el número de horas dedicadas a los deberes, pero solo hasta cierto punto, a partir del cual la inversión resulta nula (OCDE, 2016c). Entre los factores que pueden influir en el rendimiento escolar se encuentran la falta de un lugar adecuado y tranquilo en casa para estudiar, la necesidad de contribuir a las actividades familiares y de otro tipo, una orientación o supervisión inadecuada por parte de los padres en los años de juventud de los alumnos, la falta de confianza en su capacidad para comprender o completar los deberes y la falta de interés por la tarea y/o la materia.",4
218,"Sin embargo, para que las reformas arraiguen y den fruto, los compromisos jurídicos que aspiran a la igualdad deben impregnar las leyes nacionales y acabar convirtiéndose en normas sociales. Los Estados que se comprometen con los convenios y principios internacionales que establecen normas generales deben incorporarlos a través de sus constituciones y enmiendas a la legislación nacional. También se comprometen con las normas regionales sobre igualdad de género y no discriminación. En Libia, se espera que la ratificación de una Constitución permanente sustituya a la Declaración Constitucional provisional, en vigor desde agosto de 2011.",5
219,"En Portugal, los indicadores de la experiencia del paciente figuran entre los utilizados para contratar la asistencia sanitaria ""primaria"". Aunque la mayoría de los sistemas sanitarios de la OCDE cuentan al menos con algunas encuestas para recoger las PREM, a menudo no se hace de forma estandarizada (como se observa en Corea y Australia) y se suele recoger con poca frecuencia (en Japón, por ejemplo, las PREM se recogen una vez cada tres años). En un sistema en el que los datos de PROM se hacen públicos, pueden utilizarse para ayudar a los pacientes a tomar decisiones mejor informadas. Lo ideal sería que los datos de PROM se transmitieran a los médicos para ayudarles a mejorar la atención y los resultados de los pacientes.",3
220,"La situación es similar a nivel de gobierno local: las concejalas están infrarrepresentadas en todas las regiones del mundo y las alcaldesas aún más. Además, el â€œtecho de cristalâ€ ha obstaculizado el acceso de las mujeres a los puestos directivos en las empresas privadas. Esto es especialmente notable en las mayores corporaciones, que siguen estando dominadas por los hombres.",5
221,"Si la educación consistiera en impartir conocimientos sobre contenidos, el desarrollo y la evaluación de la pedagogía consistirían en establecer los mejores métodos para promover la memorización y la comprensión de conocimientos y conceptos. Pero las pedagogías centradas en las disciplinas sólo cubren una parte de lo que un profesor, una escuela o un sistema pueden querer desarrollar en los alumnos, y se ha producido un cambio concertado hacia pedagogías que desarrollan competencias personales y sociales de más alto nivel, impulsado por al menos cuatro factores. En segundo lugar, las sociedades y las industrias basadas en las tecnologías digitales exigen que las personas gestionen y utilicen un conjunto más complejo de información y aumentan el valor de las habilidades sociales. En tercer lugar, los cambios sociales han aumentado la complejidad de las opciones y las tareas a las que se enfrentan los jóvenes en su transición de la adolescencia a la edad adulta. Por último, algunos sectores se han opuesto a la intensificación de las evaluaciones estandarizadas de las capacidades cognitivas.",4
222,"Un piloto de este programa en 2010 apoyó nueve proyectos. El alcance del beneficio depende de la puntuación obtenida en la prueba de selección universitaria (PSU). Incluye, como mínimo, el pago del 100% de los derechos de matrícula si el estudiante supera una puntuación de corte determinada. Pero también puede incluir un estipendio mensual (si supera un puntaje de corte más alto) y un semestre estudiando en el extranjero (si supera un puntaje de corte aún más alto). Hay indicios de que, gracias a esta iniciativa, la nota media de la PSU de los estudiantes que acceden a la formación de profesores ha aumentado en 2011. Otra iniciativa es la campaña ""Elige Educar"", que busca promover la docencia a través de diversas acciones, entre ellas el seguimiento de la situación social de la docencia, becas para personas con experiencia fuera de la educación que quieran incorporarse a la docencia, e intervenciones en las escuelas para entregar información sobre la docencia y sensibilizar a los agentes escolares sobre la importancia de la docencia como profesión.",4
223,"De media, por cada 1 % de crecimiento adicional del gasto sanitario antes de la crisis se produjo una caída del 0,9 % del gasto sanitario después de la crisis. Esta recesión ha sido en muchos aspectos más profunda, ha durado más y ha experimentado una recuperación más débil que recesiones anteriores como las vividas en las décadas de 1970 y 1980 (OCDE 2012). Los patrones del gasto sanitario también han sido notablemente diferentes durante la recesión del psot-2008.",3
224,"Los productos farmacéuticos (en el PBS) son suministrados a los pacientes de los Servicios de Salud para Aborígenes en el momento de las consultas y sin coste alguno para el paciente, por un profesional sanitario debidamente cualificado y autorizado, de conformidad con la legislación estatal. Las mujeres embarazadas están exentas en caso de asistencia hospitalaria y ambulatoria relacionada con el embarazo. Los niños menores de 4 años sólo pagan 1,30 EUR por medicamento recetado y no pagan coseguro.",3
225,"Esto exige la adopción de responsabilidades claras para la financiación de inversiones que tengan más en cuenta el panorama general. Se reduce cuando intervienen varios niveles de gobierno en las decisiones clave en materia de asistencia sanitaria, como ocurre, por ejemplo, con la financiación de la construcción de nuevos hospitales y el equipamiento de alto coste en varios países, entre ellos Polonia (OCDE, 2010a). Según Zukowski, la NFZ debería desempeñar ese papel de coordinación, incluida la planificación de las necesidades a largo plazo, la prevención y la supervisión financiera y de calidad.",3
226,"Esto hace que el análisis de los patrones de uso del tiempo y el papel del poder de negociación sean vitales para comprender la dinámica de los hogares y la participación de las mujeres en el mercado laboral en China, estas percepciones contribuirán al desarrollo de políticas que promuevan la igualdad de género y mejoren el bienestar de las mujeres. Más concretamente, examinamos si el poder de negociación relativo de las mujeres disminuye su tiempo o su participación en el trabajo doméstico y de cuidados. Nos centramos en una muestra de 13.505 parejas extraídas de los datos de la Encuesta Nacional sobre el Uso del Tiempo en China (CTUS) de 2008.",5
227,"En un estudio anterior de la OCDE sobre evaluación y valoración en Dinamarca, Shewbridge et al. ( Podría basarse en las normas profesionales de enseñanza que Dinamarca, una vez desarrolladas éstas, pero también tener en cuenta indicadores y criterios basados en la escuela, así como objetivos y contextos escolares. Puede ser de bajo perfil y bajo coste, e incluir la autoevaluación, la evaluación por los compañeros, la observación en el aula y conversaciones estructuradas y la retroalimentación periódica por parte del director del centro y de compañeros experimentados.",4
228,"El nuevo indicador de salud mental se diseñó para medir la respuesta a los trastornos de ansiedad y depresión mediante la ejecución del programa de mejora del acceso a las terapias psicológicas (NHS Outcomes Framework 2013/2014). El gasto en prestaciones por discapacidad representa una importante carga económica para las finanzas públicas de muchos países de la OCDE. De media, el gasto en prestaciones por discapacidad equivale al 2% del PIB en todos los países de la OCDE, con un gasto como porcentaje del PIB tan elevado como el 4-5% en Noruega, Países Bajos y Suecia (OCDE, 2010).",3
229,"Tratamiento adecuado - En el lugar y el momento adecuados (Resumen en inglés), Informe nº Cambios en los Presupuestos del Estado para 1998], Proposición nº Om psykiske lidelser og tjenestetilbudeneâ€ [Apertura e integralidad: trastornos mentales y prestación de servicios], Sosial- og helsedepartementet, Libro Blanco nº.",3
230,"Las niñas están en desventaja en las regiones con tasas globales de matriculación bajas, mientras que en las regiones con tasas más altas -como Sudamérica, Centroamérica y el sur de ífrica- es al revés. A medida que las expectativas educativas de las niñas aumentan a un ritmo más rápido que las de los niños, también lo hace su rendimiento académico. Una vez que han accedido a la enseñanza superior, las mujeres superan a los hombres en calificaciones, evaluaciones y titulaciones (UNESCO, 2012a). Las regiones están en orden descendente según las tasas de matriculación de 2010.",5
231,"Como era de esperar, el bajo peso al nacer se asocia a una mayor mortalidad infantil, al igual que formar parte de un parto múltiple. Las tasas de mortalidad también varían en función del orden de nacimiento: la mortalidad infantil es mayor en los niños de orden de nacimiento cuatro o superior y menor en los de orden de nacimiento dos o tres. Aunque esto coincide con otros estudios sobre mortalidad infantil, contrasta con las conclusiones de un estudio anterior sobre Jordania realizado por Shakhatreh, Abbas e Issa (1996). Analizando las estadísticas de mortalidad del periodo 1980-1990, estos autores constatan que las tasas de mortalidad infantil eran más bajas entre los primogénitos.",3
232,"Los maestros de preescolar y jardín de infancia deben ser licenciados. Cada primavera, miles de bachilleres presentan sus solicitudes a los Departamentos de Formación del Profesorado de ocho universidades finlandesas. Normalmente no basta con terminar el bachillerato y aprobar un riguroso examen nacional de matriculación, los candidatos seleccionados deben tener las mejores notas y excelentes aptitudes interpersonales.",4
233,"Así pues, el grado en que un país valora la educación parece depender, al menos en parte, de la visión que tenga de cómo encajan el conocimiento y las aptitudes en la forma en que llena sus arcas nacionales. Otorgar un alto valor a la educación podría ser, por tanto, un requisito previo para construir tanto un sistema educativo de primera categoría como una economía próspera. Una vez más, esto es sólo el beneficio económico directo, imaginemos el impacto social en grandes partes de las poblaciones que actualmente carecen de conocimientos y habilidades básicas.",4
234,"Aunque existe un debate considerable sobre si los hogares encabezados por mujeres están sobrerrepresentados entre los pobres (Chant, 2003), hay pruebas de una fuerte asociación entre la pobreza de los hogares y la dependencia única o principal de los ingresos femeninos (Kabeer, 2008a, Chen y otros, 2005, Sender, 2003). Las investigaciones llevadas a cabo tras las crisis financieras en Asia y otros lugares confirmaron que, a falta de seguridad social para los trabajadores informales, el trabajo remunerado y no remunerado de las mujeres ayudaba a mantener a sus hogares (Comisión Económica y Social de las Naciones Unidas para Asia y el Pacífico (CESPAP), 2003). Se ha demostrado que el acceso de las mujeres a la tierra y a la vivienda tiene importantes repercusiones en la productividad de los hogares (Deere y otros, 2004, Katz y Chamorro, 2003).",5
235,"Por término medio, las asociaciones escolares están formadas por entre 6 y 12 colegios. En 2010, la gran mayoría de las escuelas (96,7%) pertenecían a una comunidad escolar, y la mayoría de las escuelas que no se habían unido a una comunidad escolar impartían enseñanza para alumnos con necesidades especiales. El principal objetivo de esta iniciativa es reforzar las capacidades organizativas y de liderazgo de las escuelas mediante una mayor cooperación.",4
236,"Concretamente, los resultados se han utilizado para diseñar indicadores de desarrollo para la política nacional. Por ejemplo, el Programa Nacional para la Igualdad de Oportunidades y No Discriminación contra las Mujeres 2013-2018, incluyó la ""estimación de la contribución de las mujeres al PIB por el valor económico del trabajo doméstico no remunerado"". A nivel mundial, la OIT estima que el trabajo de cuidados no remunerado asciende a unos 11 billones de dólares, o el 9% del PIB mundial, cuando se utiliza el salario mínimo por hora (OIT, 2018).",5
237,"México, sin embargo, sigue teniendo el porcentaje más bajo de alumnos con mejores resultados en matemáticas en 2009 entre los países de la OCDE y el tercer porcentaje más bajo entre los 39 países participantes con datos comparables (después de Indonesia con un 0,1% y Túnez con un 0,3%) (Resultados PISA 2009 Volumen V,TablaV.3.2). Del mismo modo, de los alumnos canadienses que obtuvieron un rendimiento inferior al Nivel 2 en 2000, más del 60% no habían cursado estudios postescolares a la edad de 21 años; por el contrario, más de la mitad de los alumnos (55%) que habían obtenido un rendimiento de Nivel 2 como nivel más alto estaban en la universidad o en el colegio"". Los alumnos que alcanzan el Nivel 2 en matemáticas pueden emplear algoritmos básicos, fórmulas, procedimientos o convenciones.",4
238,"Estos tres países tratan de integrar la educación y la atención con el fin de proporcionar un desarrollo infantil holístico. Esto significa que el desarrollo de los niños se considera una interacción dinámica y estrechamente entrelazada entre sus circunstancias físicas y mentales y el entorno en el que crecen. La edad de inicio de la escolarización puede variar: en Suecia comienza a los siete años, mientras que en Noruega empieza a los seis y en Nueva Zelanda a los cinco. Muchos países con un sistema dividido han creado un marco de aprendizaje sólo para los niños en la franja de edad más avanzada de la AEPI: desde los dos años y medio o tres años aproximadamente hasta la escolarización obligatoria. En Portugal, las Directrices del Plan de Estudios Básico para la Educación Preescolar, publicadas por el Ministerio de Educación, abarcan a los niños desde los tres hasta los seis años, la edad de escolarización obligatoria en Portugal.",4
239,"La OCDE está elaborando mejores datos sobre los resultados de la asistencia sanitaria a nivel de sistema, en particular sobre la mortalidad susceptible y la calidad de la asistencia sanitaria (Recuadro 2). Dado que su cobertura es aún limitada, estos datos no pueden sustituir a los indicadores del estado de salud a la hora de evaluar la eficiencia de la asistencia sanitaria, pero pueden complementarlos. En primer lugar, se han realizado regresiones de datos de panel para arrojar luz sobre la contribución de la asistencia sanitaria y otros determinantes al estado de salud de la población (Joumard et al., Este trabajo empírico sugiere que los cambios en el gasto sanitario, los factores de estilo de vida (consumo de tabaco y alcohol, así como la dieta), la educación, la contaminación y los ingresos han sido factores importantes detrás de las mejoras en el estado de salud.",3
